reaction_id,reaction_name,full_reaction,Oleic Acid MFA-Constrained GSM flux,Oleic Acid MFA-Constrained GSM LB,Oleic Acid MFA-Constrained GSM UB
ADSL1r,adenylsuccinate lyase,dcamp[c] <=> amp[c] + fum[c],1.9788548688999998,1.8877653933899998,362.71005205001995
ADSL2r,adenylosuccinate lyase,25aics[c] <=> aicar[c] + fum[c],1.83441951222,1.7499785994700001,30.53864955084
ADSS,adenylosuccinate synthase,asp_L[c] + gtp[c] + imp[c] --> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c],1.9788548688999998,1.8877653933399998,362.71005204994
G5SADr,L glutamate 5 semialdehyde dehydratase reversible,glu5sa[c] <=> 1pyr5c[c] + h2o[c] + h[c],3.91553055115,3.73529316748,364.55757982408
G5SD2,glutamate 5 semialdehyde dehydrogenase,glu5p[c] + h[c] + nadh[c] --> glu5sa[c] + nad[c] + pi[c],0.0,0.0,364.55757982408
AGT,alanine glyoxylate transaminase,ala_L[c] + glx[c] <=> gly[c] + pyr[c],48.7723,-67.0756,67.0756
AHCYStm,S adenosyl L homocysteine reversible transport mitochondrial,ahcys[c] <=> ahcys[m],0.0,0.0,-0.0
AHCYStn,S adenosyl L homocysteine nuclear transport,ahcys[c] <=> ahcys[n],0.0,0.0,-0.0
AHCi,adenosylhomocysteinase,ahcys[c] + h2o[c] --> adn[c] + hcys_L[c],9.92304860648,9.46627670915,185.25198811459
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air[c] + 2.0 h[c] --> 4ahmmp[c] + gcald[c] + pi[c],0.0,0.0,-0.0
AHSERL,O acetylhomoserine thiol lyase,achms[c] + ch4s[c] --> ac[c] + h[c] + met_L[c],0.0,0.0,-0.0
GLU5K,glutamate 5 kinase,atp[c] + glu_L[c] --> adp[c] + glu5p[c],0.0,0.0,364.55757982408
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf[c] + aicar[c] <=> fprica[c] + thf[c],2.85671533371,2.7252167051300002,31.51388765646
AIRCr,phosphoribosylaminoimidazole carboxylase,air[c] + co2[c] <=> 5aizc[c] + h[c],1.83441951222,1.7499785995100001,30.53864955084
AKGDam,oxoglutarate dehydrogenase lipoamide ,akg[m] + h[m] + lpam[m] <=> co2[m] + sdhlam[m],0.0,0.0,55.8544
AKGDbm,oxoglutarate dehydrogenase dihydrolipoamide S succinyltransferase ,coa[m] + sdhlam[m] --> dhlam[m] + succoa[m],0.0,0.0,55.8544
AKGMAL,alpha ketoglutaratemalate transporter,akg[e] + mal_L[c] --> akg[c] + mal_L[e],0.0,0.0,-0.0
AKGt2n,2 oxoglutarate nuclear transport via proton symport,akg[c] + h[c] <=> akg[n] + h[n],0.0,0.0,-0.0
AKGt2r,2 oxoglutarate reversible transport via symport,akg[e] + h[e] --> akg[c] + h[c],0.0,0.0,-0.0
AKP1,alkaline phosphatase Dihydroneopterin ,ahdt[c] + 3.0 h2o[c] --> dhnpt[c] + 2.0 h[c] + 3.0 pi[c],0.0,0.0,-0.0
ALASm,5 aminolevulinate synthase,gly[m] + h[m] + succoa[m] --> 5aop[m] + co2[m] + coa[m],0.0,0.0,-0.0
ALATA_L,L alanine transaminase,akg[c] + ala_L[c] <=> glu_L[c] + pyr[c],-59.54790600131,-120.19730950175,72.45514360684
ALATA_Lm,L alanine transaminase mitochondrial,akg[m] + ala_L[m] <=> glu_L[m] + pyr[m],0.0,0.0,-0.0
ALATRS,Alanyl tRNA synthetase,ala_L[c] + atp[c] + trnaala[c] --> alatrna[c] + amp[c] + ppi[c],0.0,0.0,-0.0
ALAt2r,L alanine reversible transport via proton symport,ala_L[e] + h[e] <=> ala_L[c] + h[c],0.0,-47.91760195201,-0.0
ALCD19y,alcohol dehydrogenase glycerol NADP ,glyald[c] + h[c] + nadph[c] --> glyc[c] + nadp[c],0.0,0.0,-0.0
ALCD2m,alcohol dehydrogenase ethanol mitochondrial,etoh[m] + nad[m] <=> acald[m] + h[m] + nadh[m],0.0,0.0,183.68316598548
ALCD2x,alcohol dehydrogenase ethanol ,etoh[c] + nad[c] <=> acald[c] + h[c] + nadh[c],0.0,-183.68316598548,-0.0
ALDD19x,aldehyde dehydrogenase phenylacetaldehyde NAD ,h2o[c] + nad[c] + pacald[c] --> 2.0 h[c] + nadh[c] + pac[c],0.0,0.0,-0.0
ALDD20xm,aldehyde dehydrogenase indole 3 acetaldehyde NAD mitochondrial,h2o[m] + id3acald[m] + nad[m] --> 2.0 h[m] + ind3ac[m] + nadh[m],0.0,0.0,-0.0
ALDD20y,aldehyde dehydrogenase indole 3 acetaldehyde NADP ,h2o[c] + id3acald[c] + nadp[c] --> 2.0 h[c] + ind3ac[c] + nadph[c],0.0,0.0,-0.0
ALDD20ym,aldehyde dehydrogenase indole 3 acetaldehyde NADP mitochondrial,h2o[m] + id3acald[m] + nadp[m] --> 2.0 h[m] + ind3ac[m] + nadph[m],0.0,0.0,-0.0
ALDD2xm,aldehyde dehydrogenase acetylaldehyde NAD mitochondrial,acald[m] + h2o[m] + nad[m] --> ac[m] + 2.0 h[m] + nadh[m],0.0,0.0,183.68316598496
ALDD2y,aldehyde dehydrogenase acetaldehyde NADP ,acald[c] + h2o[c] + nad[c] --> ac[c] + 2.0 h[c] + nadh[c],86.61787157957001,0.0,188.68385744763
ALDD2ym,aldehyde dehydrogenase acetylaldehyde NADP mitochondrial,acald[m] + h2o[m] + nadp[m] --> ac[m] + 2.0 h[m] + nadph[m],0.0,0.0,163.22175289025
ALLTAHr,Allantoate amidinohydrolase reversible,alltt[c] + h2o[c] <=> urdglyc[c] + urea[c],0.0,0.0,-0.0
ALLTNr,allantoinase reversible reaction,alltn[c] + h2o[c] <=> alltt[c] + h[c],0.0,0.0,-0.0
ALLTNti,allantoin irreversible uniport,alltn[e] --> alltn[c],0.0,0.0,-0.0
ALLTTti,allantoate irreversible uniport,alltt[e] --> alltt[c],0.0,0.0,-0.0
ALPHNH,allophanate hydrolase,allphn[c] + h2o[c] + 3.0 h[c] --> 2.0 co2[c] + 2.0 nh4[c],0.0,0.0,87.89285570265
AM6SAD,aminomuconate semialdehyde dehydrogenase,am6sa[c] + h2o[c] + nad[c] --> amuco[c] + 2.0 h[c] + nadh[c],0.0,0.0,-0.0
AMAOTr,adenosylmethionine 8 amino 7 oxononanoate transaminase,8aonn[c] + amet[c] <=> amob[c] + dann[c],0.0,0.0,-0.0
AMETt2,S adenosyl L methionine transport in via proton symport,amet[e] + h[e] --> amet[c] + h[c],0.0,0.0,-0.0
AMETtm,S Adenosyl L methionine reversible transport mitochondrial,amet[c] <=> amet[m],0.0,0.0,-0.0
AMETtn,S adenosyl L methionine nuclear transport,amet[c] <=> amet[n],0.0,0.0,-0.0
AMID,amidase,4gudbd[c] + h2o[c] --> 4gudbutn[c] + nh4[c],0.0,0.0,-0.0
AMID2,amidase,h2o[c] + pad[c] --> nh4[c] + pac[c],0.0,0.0,-0.0
AMID3,amidase,h2o[c] + iad[c] --> ind3ac[c] + nh4[c],0.0,0.0,-0.0
AMPDA,Adenosine monophosphate deaminase,amp[c] + h2o[c] + h[c] --> imp[c] + nh4[c],0.0,0.0,360.82228665651
AMPN,AMP nucleosidase,amp[c] + h2o[c] --> ade[c] + r5p[c],0.0,0.0,527.35713421592
OCBTi,ornithine carbamoyltransferase irreversible,cbp[c] + orn[c] --> citr_L[c] + h[c] + pi[c],2.38232982746,2.27266783158,107.74409467477
ORNTACim,ornithine transacetylase irreversible mitochondrial,acorn[m] + glu_L[m] --> acglu[m] + orn[m],6.297860378609999,2.27266783158,366.83024765097
AP4AHr,Ap4A hydrolase reversible,ap4a[c] + h2o[c] <=> 2.0 adp[c] + 2.0 h[c],0.0,0.0,527.35713420999
APRAUR,5 amino 6 5 phosphoribosylamino uracil reductase,5apru[c] + h[c] + nadph[c] --> 5aprbu[c] + nadp[c],0.0,0.0,-0.0
APRTO2,N acetylputrescine oxygen oxireductase deaminating ,aprut[c] + h2o[c] + o2[c] --> h2o2[c] + n4abutn[c] + nh4[c],0.0,0.0,-0.0
ARAB1D1,D arabinose 1 dehydrogenase NAD ,arab_D[c] + nad[c] --> Dara14lac[c] + h[c] + nadh[c],0.0,0.0,-0.0
ARAB1D2,D arabinose 1 dehydrogenase NADP ,arab_D[c] + nadp[c] --> Dara14lac[c] + h[c] + nadph[c],0.0,0.0,-0.0
ARABR,arabinose reductase,arab_L[c] + h[c] + nadph[c] --> abt[c] + nadp[c],0.0,0.0,-0.0
ARAB_Dt,D arabinose reversible transport,arab_D[e] <=> arab_D[c],0.0,0.0,-0.0
ARAB_Lt,L arabinoase extracellular transport,arab_L[e] <=> arab_L[c],0.0,0.0,-0.0
ARGN,arginase,arg_L[c] + h2o[c] --> orn[c] + urea[c],0.0,0.0,105.471426842
P5CR,pyrroline 5 carboxylate reductase,1pyr5c[c] + 2.0 h[c] + nadph[c] --> nadp[c] + pro_L[c],3.91553055115,3.73529316748,364.55757982457
biomass_C,biomass yarrowia carbon limiting,0.943396927 13BDglcn[c] + 0.567938715 ala_L[c] + 0.055401294 amp[c] + 0.125562993 arg_L[c] + 0.186498253 asn_L[c] + 0.186531036 asp_L[c] + 23.09 atp[c] + 0.868358429 chitin[c] + 0.057210293 cmp[c] + 0.003631558 cys_L[c] + 0.010069587 damp[c] + 0.010436325 dcmp[c] + 0.009226307 dgmp[c] + 0.010353045 dtmp[c] + 0.035250723 ergst[c] + 0.24386559 gln_L[c] + 0.243904342 glu_L[c] + 0.509942819 gly[c] + 0.050870974 gmp[c] + 23.09 h2o[c] + 0.053881088 his_L[c] + 0.090566203 ile_L[c] + 0.194549622 leu_L[c] + 0.275004895 lys_L[c] + 0.235849232 mannan[c] + 0.04423181 met_L[c] + 5.8e-05 pa_SC[c] + 0.000346485 pc_SC[c] + 0.000236765 pe_SC[c] + 0.082570645 phe_L[c] + 0.206371817 pro_L[c] + 3.5e-05 ps_SC[c] + 7.5e-05 ptd1ino_SC[c] + 0.284698809 ser_L[c] + 0.02 so4[c] + 0.210543282 thr_L[c] + 0.006859892 tre[c] + 0.000234034 triglyc_SC[c] + 0.002154449 trp_L[c] + 0.04128234 tyr_L[c] + 0.059363404 ump[c] + 0.17277308 val_L[c] + 0.003029289 zymst[c] --> 23.09 adp[c] + biomass[c] + 23.09 h[c] + 23.09 pi[c],0.0,0.0,-0.0
biomass_N,biomass yarrowia nitrogen limiting,0.257113988 13BDglcn[c] + 0.09496 ala_L[c] + 0.001432042 amp[c] + 0.018065337 arg_L[c] + 0.026287726 asn_L[c] + 0.026287726 asp_L[c] + 20.31 atp[c] + 0.236682322 chitin[c] + 0.001478116 cmp[c] + 0.000519556 cys_L[c] + 0.016513908 damp[c] + 0.017106666 dcmp[c] + 0.015134716 dgmp[c] + 0.016975477 dtmp[c] + 0.060650767 ergst[c] + 0.032192196 gln_L[c] + 0.032192196 glu_L[c] + 0.082618568 gly[c] + 0.001315238 gmp[c] + 20.31 h2o[c] + 0.007031076 his_L[c] + 0.013733758 ile_L[c] + 0.02888825 leu_L[c] + 0.031527805 lys_L[c] + 0.064278269 mannan[c] + 0.002859543 met_L[c] + 8.468939e-05 pa_SC[c] + 0.00057788053 pc_SC[c] + 0.00057788053 pe_SC[c] + 0.012013414 phe_L[c] + 0.028688078 pro_L[c] + 0.00010959803 ps_SC[c] + 0.00012553956 ptd1ino_SC[c] + 0.046748124 ser_L[c] + 0.02 so4[c] + 0.031790673 thr_L[c] + 0.001869797 tre[c] + 0.00038910587 triglyc_SC[c] + 0.000287711 trp_L[c] + 0.006237863 tyr_L[c] + 0.001533699 ump[c] + 0.025946327 val_L[c] + 0.003484382 zymst[c] --> 20.31 adp[c] + 20.31 h[c] + 20.31 pi[c],0.0,0.0,-0.0
ARGTRS,Arginyl tRNA synthetase,arg_L[c] + atp[c] + trnaarg[c] --> amp[c] + argtrna[c] + ppi[c],0.0,0.0,-0.0
ARGTRSm,Arginyl tRNA synthetase mitochondrial,arg_L[m] + atp[m] + trnaarg[m] --> amp[m] + argtrna[m] + ppi[m],0.0,0.0,-0.0
ARGt2m,arginine mitochondrial transport via proton symport,arg_L[c] + h[c] <=> arg_L[m] + h[m],0.0,0.0,-0.0
ARGt2r,L arganine reversible transport via proton symport,arg_L[e] + h[e] <=> arg_L[c] + h[c],0.0,-21.375881911689998,-0.0
ARMT,hnRNP arginine N methyltransferase,amet[c] + his_L[c] --> NPmehis[c] + ahcys[c] + h[c],0.0,0.0,-0.0
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],419.25600000000003,419.25600000000003,442.16479999999996
ASNS1,asparagine synthase glutamine hydrolysing ,asp_L[c] + atp[c] + gln_L[c] + h2o[c] --> amp[c] + asn_L[c] + glu_L[c] + h[c] + ppi[c],3.53846575552,3.37558519523,42.897193391100004
ASNTRS,Asparaginyl tRNA synthetase,asn_L[c] + atp[c] + trnaasn[c] --> amp[c] + asntrna[c] + ppi[c],0.0,0.0,-0.0
ASNTRSm,asparaginyl tRNA synthetase miotchondrial,asn_L[m] + atp[m] + trnaasn[m] --> amp[m] + asntrna[m] + ppi[m],0.0,0.0,-0.0
ASNt2m,asparagine mitochondrial transport via proton transport,asn_L[c] + h[c] <=> asn_L[m] + h[m],0.0,0.0,-0.0
ASNt2r,L asparagine reversible transport via proton symport,asn_L[e] + h[e] <=> asn_L[c] + h[c],0.0,-39.52160819587,-0.0
ASP1DC,aspartate 1 decarboxylase,asp_L[c] + h[c] --> ala_B[c] + co2[c],0.0,0.0,13.441359132599999
ICDHxm,Isocitrate dehydrogenase NAD ,icit[m] + nad[m] --> akg[m] + co2[m] + nadh[m],20.77012787224,0.0,75.2709
ASPGLUtp,aspartate glutamate peroxisomal shuttle,asp_L[c] + glu_L[x] <=> asp_L[x] + glu_L[c],0.0,0.0,97.85752392455001
ICDHym,Isocitrate dehydrogenase NADP ,icit[m] + nadp[m] --> akg[m] + co2[m] + nadph[m],0.0,0.0,68.886
ASPTA,aspartate transaminase,akg[c] + asp_L[c] <=> glu_L[c] + oaa[c],-10000.0,-10000.0,-20.82374766104
ASPTAm,aspartate transaminase,akg[m] + asp_L[m] <=> glu_L[m] + oaa[m],9970.9380702582,0.0,9979.17625233896
ASPTAp,aspartate transaminase peroxisomal,akg[x] + asp_L[x] <=> glu_L[x] + oaa[x],0.0,0.0,97.85752392454
ASPTRS,Aspartyl tRNA synthetase,asp_L[c] + atp[c] + trnaasp[c] --> amp[c] + asptrna[c] + ppi[c],0.0,0.0,-0.0
